类别,品类,版位,消耗占比%,CTR%,浅层CVR%,平均播放时长s,3秒完播率%,快滑率%,日均消耗
========== 大盘整体 ==========,丽人,整体大盘,100,,,,,,
,丽人,微信视频号,,,,,,,
,丽人,微信朋友圈,,,,,,,
,丽人,公众号与小程序,,,,,,,
,丽人,平台与内容广告,,,,,,,
========== 品类01：淡化斑点 ==========,淡化斑点,品类汇总,28.0,,,,,,
,淡化斑点,微信视频号,,,,,,,
,淡化斑点,微信朋友圈,,,,,,,
,淡化斑点,公众号与小程序,,,,,,,
,淡化斑点,平台与内容广告,,,,,,,
========== 品类02：淡化眼袋 ==========,淡化眼袋,品类汇总,18.0,,,,,,
,淡化眼袋,微信视频号,,,,,,,
,淡化眼袋,微信朋友圈,,,,,,,
,淡化眼袋,公众号与小程序,,,,,,,
,淡化眼袋,平台与内容广告,,,,,,,
========== 品类03：抗衰淡皱 ==========,抗衰淡皱,品类汇总,24.0,,,,,,
,抗衰淡皱,微信视频号,,,,,,,
,抗衰淡皱,微信朋友圈,,,,,,,
,抗衰淡皱,公众号与小程序,,,,,,,
,抗衰淡皱,平台与内容广告,,,,,,,
========== 品类04：纹眉纹绣 ==========,纹眉纹绣,品类汇总,7.0,,,,,,
,纹眉纹绣,微信视频号,,,,,,,
,纹眉纹绣,微信朋友圈,,,,,,,
,纹眉纹绣,公众号与小程序,,,,,,,
,纹眉纹绣,平台与内容广告,,,,,,,
========== 品类05：假发养发 ==========,假发养发,品类汇总,6.0,,,,,,
,假发养发,微信视频号,,,,,,,
,假发养发,微信朋友圈,,,,,,,
,假发养发,公众号与小程序,,,,,,,
,假发养发,平台与内容广告,,,,,,,
========== 品类06：淡化妊娠纹 ==========,淡化妊娠纹,品类汇总,5.0,,,,,,
,淡化妊娠纹,微信视频号,,,,,,,
,淡化妊娠纹,微信朋友圈,,,,,,,
,淡化妊娠纹,公众号与小程序,,,,,,,
,淡化妊娠纹,平台与内容广告,,,,,,,
========== 品类07：淡化痘痘 ==========,淡化痘痘,品类汇总,6.0,,,,,,
,淡化痘痘,微信视频号,,,,,,,
,淡化痘痘,微信朋友圈,,,,,,,
,淡化痘痘,公众号与小程序,,,,,,,
,淡化痘痘,平台与内容广告,,,,,,,
========== 品类08：按摩SPA ==========,按摩SPA,品类汇总,4.0,,,,,,
,按摩SPA,微信视频号,,,,,,,
,按摩SPA,微信朋友圈,,,,,,,
,按摩SPA,公众号与小程序,,,,,,,
,按摩SPA,平台与内容广告,,,,,,,
========== 品类09：瑜伽健身 ==========,瑜伽健身,品类汇总,2.0,,,,,,
,瑜伽健身,微信视频号,,,,,,,
,瑜伽健身,微信朋友圈,,,,,,,
,瑜伽健身,公众号与小程序,,,,,,,
,瑜伽健身,平台与内容广告,,,,,,,
